"ámbitos territoriales","grandes grupos de edad cumplida","sexo","2025/01/01"
"Hernialde","0 - 19","Total",49
"Hernialde","20 - 64","Total",192
"Hernialde",">= 65","Total",82
"Hondarribia","Total","Total",16960
"Hondarribia","0 - 19","Total",2921
"Hondarribia","20 - 64","Total",9662
"Hondarribia",">= 65","Total",4377
"Ibarra","Total","Total",4076
"Ibarra","0 - 19","Total",778
"Ibarra","20 - 64","Total",2171
"Ibarra",">= 65","Total",1127
"Idiazabal","Total","Total",2279
"Idiazabal","0 - 19","Total",480
"Idiazabal","20 - 64","Total",1240
"Idiazabal",">= 65","Total",559
"Ikaztegieta","Total","Total",488
"Ikaztegieta","0 - 19","Total",98
"Ikaztegieta","20 - 64","Total",275
"Ikaztegieta",">= 65","Total",115
"Irun","Total","Total",60665
"Irun","0 - 19","Total",10443
"Irun","20 - 64","Total",35513
"Irun",">= 65","Total",14709
"Irura","Total","Total",1846
"Irura","0 - 19","Total",461
"Irura","20 - 64","Total",1163
"Irura",">= 65","Total",222
"Itsasondo","Total","Total",702
"Itsasondo","0 - 19","Total",167
"Itsasondo","20 - 64","Total",414
"Itsasondo",">= 65","Total",121
"Larraul","Total","Total",262
"Larraul","0 - 19","Total",65
"Larraul","20 - 64","Total",158
"Larraul",">= 65","Total",39
"Lasarte-Oria","Total","Total",19808
"Lasarte-Oria","0 - 19","Total",3424
"Lasarte-Oria","20 - 64","Total",11514
"Lasarte-Oria",">= 65","Total",4870
"Lazkao","Total","Total",5888
"Lazkao","0 - 19","Total",1267
"Lazkao","20 - 64","Total",3474
"Lazkao",">= 65","Total",1147
"Leaburu","Total","Total",383
"Leaburu","0 - 19","Total",73
"Leaburu","20 - 64","Total",221
"Leaburu",">= 65","Total",89
"Legazpi","Total","Total",8377
"Legazpi","0 - 19","Total",1494
"Legazpi","20 - 64","Total",4607
"Legazpi",">= 65","Total",2276
"Legorreta","Total","Total",1499
"Legorreta","0 - 19","Total",310
"Legorreta","20 - 64","Total",880
"Legorreta",">= 65","Total",309
"Leintz-Gatzaga","Total","Total",224
"Leintz-Gatzaga","0 - 19","Total",32
"Leintz-Gatzaga","20 - 64","Total",134
"Leintz-Gatzaga",">= 65","Total",58
"Lezo","Total","Total",6188
"Lezo","0 - 19","Total",1090
"Lezo","20 - 64","Total",3753
"Lezo",">= 65","Total",1345
"Lizartza","Total","Total",700
"Lizartza","0 - 19","Total",147
"Lizartza","20 - 64","Total",406
"Lizartza",">= 65","Total",147
"Mendaro","Total","Total",2049
"Mendaro","0 - 19","Total",454
"Mendaro","20 - 64","Total",1218
"Mendaro",">= 65","Total",377
"Mutiloa","Total","Total",249
"Mutiloa","0 - 19","Total",49
"Mutiloa","20 - 64","Total",153
"Mutiloa",">= 65","Total",47
"Mutriku","Total","Total",5283
"Mutriku","0 - 19","Total",975
"Mutriku","20 - 64","Total",3043
"Mutriku",">= 65","Total",1265
"Oiartzun","Total","Total",10473
"Oiartzun","0 - 19","Total",1956
"Oiartzun","20 - 64","Total",6148
"Oiartzun",">= 65","Total",2369
"Olaberria","Total","Total",950
"Olaberria","0 - 19","Total",146
"Olaberria","20 - 64","Total",576
"Olaberria",">= 65","Total",228
"Oñati","Total","Total",11445
"Oñati","0 - 19","Total",2358
"Oñati","20 - 64","Total",6248
"Oñati",">= 65","Total",2839
"Ordizia","Total","Total",10398
"Ordizia","0 - 19","Total",2228
