service_id,service_name,service_category,municipality_code,latitude,longitude,reference_period,source_id,easting_m,northing_m
entityDC8FB110,PAC DE ZARAUTZ,primary_care,20079,43.28226015370401,-2.1782658625817466,2026-09-20,ODE_HEALTH_CENTRES_2026,566670.9329795933,4792487.872952784
entityFFB756AE,Hospital de Día de Zumarraga,hospital,20080,43.086460603321136,-2.317000942940739,2026-09-20,ODE_HEALTH_CENTRES_2026,555592.0969421263,4770642.519511318
entity9768B2CE,Hospital de Zumarraga,hospital,20080,43.083862711467134,-2.3126616183348325,2026-09-20,ODE_HEALTH_CENTRES_2026,555947.6577481712,4770356.907646788
entity716518B0,Centro de Salud Mental de Zumarraga,mental_health,20080,43.086460603321136,-2.317000942940739,2026-09-20,ODE_HEALTH_CENTRES_2026,555592.0969421263,4770642.519511318
entityCF7A2788,Centro de Salud de Zumarraga,primary_care,20080,43.08772509551919,-2.3201776327900534,2026-09-20,ODE_HEALTH_CENTRES_2026,555332.3940760223,4770780.841356307
entityC2BE5ED0,PUNTO DE REFUERZO ZUMARRAGA,primary_care,20080,43.08772509551919,-2.3201776327900534,2026-09-20,ODE_HEALTH_CENTRES_2026,555332.3940760223,4770780.841356307
entityCE027A47,Centro de Salud de Zumaia,primary_care,20081,43.29224017778071,-2.2574197800217566,2026-09-20,ODE_HEALTH_CENTRES_2026,560238.9517908784,4793536.089591321
entityEDEDD050,Hospital de Mendaro,hospital,20901,43.25045193173712,-2.384859249546228,2026-09-20,ODE_HEALTH_CENTRES_2026,549935.0437086653,4788811.3413001755
entity9B629AE2,Consultorio de Mendaro,primary_care,20901,43.2519740793383,-2.3863584060346303,2026-09-20,ODE_HEALTH_CENTRES_2026,549812.1064160554,4788979.4870745875
entity855253D8,Unidad Terapéutica Educativa de Lasarte-Oria,other_health,20902,43.26411663237257,-2.015343243794401,2026-09-20,ODE_HEALTH_CENTRES_2026,579913.3796102115,4790615.824002928
entityD49942B1,Centro de Salud de Lasarte-Oria,primary_care,20902,43.26771482934346,-2.018829088277635,2026-09-20,ODE_HEALTH_CENTRES_2026,579625.7810528544,4791012.093343451
entity0B11978C,Centro de Salud de Astigarraga,primary_care,20903,43.2840466086258,-1.94811409644532,2026-09-20,ODE_HEALTH_CENTRES_2026,585341.7838271875,4792895.6099590855
entity2BC8E9C2,Consultorio de Baliarrain,primary_care,20904,43.06928112727821,-2.1279225831576336,2026-09-20,ODE_HEALTH_CENTRES_2026,571001.8676172891,4768877.401753446
entity859D0B9C,Consultorio de Gaztelu,primary_care,20907,43.11615444900062,-2.0242981209437576,2026-09-20,ODE_HEALTH_CENTRES_2026,579378.1418569554,4774175.650352744
