service_id,service_name,service_category,service_type_original,municipality_code,municipality_name,latitude,longitude,address,reference_period,source_id
entityFD00E6AA,Ambulatorio de Irun Centro,primary_care,Centro de Salud,20045,Irun,43.33750113266984,-1.7952194226885752,"Avenida Gipuzkoa, 15, 20302 Irun (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityDEE2EED1,Centro de Salud de Dumboa,primary_care,Centro de Salud,20045,Irun,43.33995263033484,-1.7810235803578958,"Avenida Navarra, 41, 20302 Irun (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity86D41A67,PAC DE IRUN CENTRO,primary_care,PAC,20045,Irun,43.33750113266984,-1.7952194226885752,"Avenida Gipuzkoa, 15, 20302 Irun (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityD69ECB4C,Consultorio de Irura,primary_care,Consultorio,20046,Irura,43.16696571277916,-2.0692120914812207,"Pello Arrese-Igor, 1, 20270 Irura (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity2721854A,Consultorio de Itsasondo,primary_care,Consultorio,20047,Itsasondo,43.0690430708654,-2.1636602290992903,"Kale Nagusia, 7, 20249 Itsasondo (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity3ABA1316,Centro de Salud de Lazkao,primary_care,Centro de Salud,20049,Lazkao,43.03412836130665,-2.1881247048566914,"Plaza Euskadi, 3, 20210 Lazkao (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity9EAEB1E4,Consultorio de Leaburu,primary_care,Consultorio,20050,Leaburu,43.1246988099968,-2.0518612519160966,"Barrio Leaburu, 2, 20491 Leaburu (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityB4343EC6,Consultorio de Txarama,primary_care,Consultorio,20050,Leaburu,43.115960473281895,-2.0734177771266,"Barrio Txarama, 4, 20400 Leaburu (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity94B2E778,Centro de Salud de Legazpi,primary_care,Centro de Salud,20051,Legazpi,43.052303727751806,-2.3336932743352725,"Latxartegi, 1, 20230 Legazpi (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity0304FECE,Consultorio de Legorreta,primary_care,Consultorio,20052,Legorreta,43.085250483572565,-2.1488853728392634,"Kale Nagusia, 12, 20250 Legorreta (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity4B0E440D,Centro de Salud de Lezo,primary_care,Centro de Salud,20053,Lezo,43.3216056215937,-1.8923397293566595,"Plaza Lopene, 4, 20100 Lezo (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityFE32842B,Consultorio de Lizartza,primary_care,Consultorio,20054,Lizartza,43.10306792772424,-2.0347600928212297,"Barrio Plaza Soro, 1, 20490 Lizartza (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity890F297C,Hospital de Alto Deba,hospital,Hospital,20055,Arrasate/Mondragón,43.06327803498619,-2.482371459545515,"Avenida Nafarroa, 16, 20500 Arrasate / Mondragón (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity8DA20792,Centro de Salud Mental de Arrasate,mental_health,Centro de Salud Mental,20055,Arrasate/Mondragón,43.0634076701305,-2.4831660437146232,"Avenida Nafarroa, 14, 20500 Arrasate / Mondragón (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity93AABD71,Centro de Salud de Arrasate,primary_care,Centro de Salud,20055,Arrasate/Mondragón,43.0634076701305,-2.4831660437146232,"Avenida Nafarroa, 14, 20500 Arrasate / Mondragón (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity13F7A477,Consultorio de Mutriku,primary_care,Consultorio,20056,Mutriku,43.30714101504333,-2.389105872797348,"Domingo Ibaibarriaga, 16, 20830 Mutriku (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity80EA1B01,Consultorio de Mutiloa,primary_care,Consultorio,20057,Mutiloa,43.022236886015925,-2.2733774043456507,"Núcleo Mutiloa Bildua, 1-A, 20214 Mutiloa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityE020B623,Consultorio de Olaberria,primary_care,Consultorio,20058,Olaberria,43.03641821230378,-2.21612000552347,"Jose Maria Aristrain, 3, 20212 Olaberria (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity10969F0F,Centro de Salud de Oñati,primary_care,Centro de Salud,20059,Oñati,43.03294533081465,-2.416691126854892,"San Juan, 17, 20560 Oñati (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity1B396481,Consultorio de Orexa,primary_care,Consultorio,20060,Orexa,43.09391244165767,-2.01156404330839,"Plaza Errebote, 1, 20490 Orexa (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity46F83D6E,Centro de Salud de Orio,primary_care,Centro de Salud,20061,Orio,43.275981740386285,-2.1293245457376893,"Arrantzale, 1, 20810 Orio (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity771C7012,Consultorio de Ormaiztegi,primary_care,Consultorio,20062,Ormaiztegi,43.04271494532885,-2.255105982014164,"San Andres, 29, 20216 Ormaiztegi (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity84DCE82C,Centro de Salud de Oiartzun,primary_care,Centro de Salud,20063,Oiartzun,43.298445732744135,-1.8618250783313008,"Avenida Manuel Lekuona, 3, 20180 Oiartzun (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityA51B0B40,Ambulatorio de Pasai San Pedro,primary_care,Ambulatorio,20064,Pasaia,43.32329230919057,-1.929295713274758,"Marinel, 1, 20110 Pasaia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity94943E11,Ambulatorio de Pasai San Pedro,primary_care,Centro de Salud,20064,Pasaia,43.32329230919057,-1.929295713274758,"Marinel, 1, 20110 Pasaia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity90DD2178,Centro de Salud de Pasai Donibane,primary_care,Centro de Salud,20064,Pasaia,43.32453002335408,-1.917012644208508,"Donibane, 15, 20110 Pasaia (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity3C01C255,Consultorio de Soraluze,primary_care,Consultorio,20065,Soraluze-Placencia de las Armas,43.17487346216715,-2.4133782077691217,"Kalebarren, 13, 20590 Soraluze-Placencia de las Armas (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityD6C10D3B,Consultorio de Errezil,primary_care,Consultorio,20066,Errezil,43.16501931246312,-2.173912282481256,"Núcleo Errezil, 18, 20737 Errezil (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity9C21889E,Centro de Salud Mental de Errenteria,mental_health,Centro de Salud Mental,20067,Errenteria,43.31428829513423,-1.910771050610432,"Avenida Galtzaraborda, 69, 20100 Errenteria (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityBC1BAF15,Centro de Día de Errenteria,other_health,Otros,20067,Errenteria,43.31428829513423,-1.910771050610432,"Avenida Galtzaraborda, 69, 20100 Errenteria (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity91954134,Ambulatorio de Larzabal,primary_care,Ambulatorio,20067,Errenteria,43.309836750341866,-1.8827268326249151,"Barrio Lartzabal, 2, 20100 Errenteria (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity49268CAF,Centro de Salud de Errenteria-Beraun,primary_care,Centro de Salud,20067,Errenteria,43.31385089900464,-1.9112294233799652,"Avenida Galtzaraborda, 67, 20100 Errenteria (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity34E82C38,Centro de Salud de Errenteria-Iztieta,primary_care,Centro de Salud,20067,Errenteria,43.31523515088846,-1.9011669872702055,"San Sebastián, 1, 20100 Errenteria (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity488D63D1,PAC DE ERRENTERIA-IZTIETA,primary_care,PAC,20067,Errenteria,43.31523515088846,-1.9011669872702055,"San Sebastián, 1, 20100 Errenteria (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity2772BA48,Consultorio de Leintz-Gatzaga,primary_care,Consultorio,20068,Leintz-Gatzaga,42.98691579556596,-2.5679316841123225,"Plaza San Miguel, 2, 20530 Leintz-Gatzaga (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entityB90C729B,Hospital Universitario de Donostia,hospital,Hospital,20069,Donostia / San Sebastián,43.292907649655966,-1.9687196827583755,"Paseo Doctor Begiristain, 109, 20014 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity4E9237C6,Centro de Salud Mental de Donostia Antiguo,mental_health,Centro de Salud Mental,20069,Donostia / San Sebastián,43.31361476246078,-2.005252359137495,"Avenida Zumalakarregi, 24, 20008 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity083DDCA3,Centro de Salud Mental de Donostia-Amara,mental_health,Centro de Salud Mental,20069,Donostia / San Sebastián,43.30808529171807,-1.981064078038852,"Jose Maria Salaberria, 9, 20010 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
entity08BBED20,Centro de Salud Mental de Donostia-Egia,mental_health,Centro de Salud Mental,20069,Donostia / San Sebastián,43.31696906345006,-1.9735555946224717,"Tejería, 2, 20012 Donostia / San Sebastián (Gipuzkoa)",2026-09-20,ODE_HEALTH_CENTRES_2026
