municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,services_total,primary_care_per_10000_65_plus,primary_care_per_10000_75_plus,hospital_per_10000_65_plus,hospital_per_10000_75_plus,mental_health_per_10000_65_plus,mental_health_per_10000_75_plus,other_health_per_10000_65_plus,other_health_per_10000_75_plus,representative_point_longitude,representative_point_latitude,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,distance_to_nearest_mental_health_m,distance_to_nearest_other_health_m,metrics_reference_period,source_ids
20012,Arama,181,40,27,22.099,14.917,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,1.3625340641207564,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1629113,43.0593429,1079.0,12492.7,2373.9,25712.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20013,Aretxabaleta,7183,1677,908,23.347,12.641,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,26.943937405863437,0,0,0,1,1,5.963,11.013,0.0,0.0,0.0,0.0,0.0,0.0,-2.4793842,43.010081,3509.2,5912.6,5930.0,47119.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20014,Asteasu,1527,273,138,17.878,9.037,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,16.867816836980452,0,0,0,1,1,36.63,72.464,0.0,0.0,0.0,0.0,0.0,0.0,-2.120481,43.2032328,2122.0,15842.8,8169.2,10891.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20015,Ataun,1723,387,203,22.461,11.782,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,58.36793468529906,0,0,0,2,2,51.68,98.522,0.0,0.0,0.0,0.0,0.0,0.0,-2.1675105,42.9779648,1054.1,16677.9,8376.3,34105.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20016,Aia,2127,395,183,18.571,8.604,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,55.1751669258766,0,0,0,1,1,25.316,54.645,0.0,0.0,0.0,0.0,0.0,0.0,-2.1490991,43.2435104,676.1,15633.6,4911.7,11096.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20017,Azkoitia,12084,2520,1253,20.854,10.369,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,55.19951147869225,0,0,0,1,1,3.968,7.981,0.0,0.0,0.0,0.0,0.0,0.0,-2.3291954,43.1749358,1157.2,9527.8,5027.6,27348.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20018,Azpeitia,15431,3484,1780,22.578,11.535,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,69.22171951382239,0,1,0,4,5,11.481,22.472,0.0,0.0,2.87,5.618,0.0,0.0,-2.257571,43.1653067,1406.8,10002.2,1981.0,22529.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20019,Beasain,13915,3129,1541,22.487,11.074,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,29.94251983903037,0,1,0,3,4,9.588,19.468,0.0,0.0,3.196,6.489,0.0,0.0,-2.2165435,43.0747736,3617.3,7889.5,3361.9,26639.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20020,Beizama,101,26,14,25.743,13.861,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,16.550786400367258,0,0,0,1,1,384.615,714.286,0.0,0.0,0.0,0.0,0.0,0.0,-2.2028857,43.1269994,821.4,10136.2,8034.9,21543.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20021,Belauntza,314,75,33,23.885,10.51,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,3.4298050136647156,0,0,0,1,1,133.333,303.03,0.0,0.0,0.0,0.0,0.0,0.0,-2.0423724,43.1365707,739.4,18364.9,2980.4,14334.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20022,Berastegi,1088,258,92,23.713,8.456,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,45.702360229118476,0,0,0,1,1,38.76,108.696,0.0,0.0,0.0,0.0,0.0,0.0,-1.957862,43.1281243,1800.8,18322.4,9895.5,15809.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20023,Berrobi,588,115,61,19.558,10.374,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.9581461193190455,0,0,0,1,1,86.957,163.934,0.0,0.0,0.0,0.0,0.0,0.0,-2.0277955,43.1457477,49.5,17033.6,4297.5,13185.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
20024,Bidania-Goiatz,528,103,45,19.508,8.523,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,13.741467757052447,0,0,0,1,1,97.087,222.222,0.0,0.0,0.0,0.0,0.0,0.0,-2.1669964,43.1387285,535.5,13326.6,7161.1,18594.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07,EUSTAT_EMH_2025|ODE_HEALTH_CENTRES_2026|GEOEUSKADI_MUNICIPIOS_2025
