municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id
20069,Donostia / San Sebastián,183388,48832,24884,26.628,13.569,2025-01-01,EUSTAT_EMH_2025
20070,Segura,1499,316,140,21.081,9.34,2025-01-01,EUSTAT_EMH_2025
20071,Tolosa,20048,4718,2432,23.534,12.131,2025-01-01,EUSTAT_EMH_2025
20072,Urnieta,6294,1244,585,19.765,9.295,2025-01-01,EUSTAT_EMH_2025
20073,Usurbil,6485,1310,653,20.2,10.069,2025-01-01,EUSTAT_EMH_2025
20074,Bergara,14725,3735,1950,25.365,13.243,2025-01-01,EUSTAT_EMH_2025
20075,Villabona,5778,1340,696,23.191,12.046,2025-01-01,EUSTAT_EMH_2025
20076,Ordizia,10398,2137,1119,20.552,10.762,2025-01-01,EUSTAT_EMH_2025
20077,Urretxu,6795,1621,845,23.856,12.436,2025-01-01,EUSTAT_EMH_2025
20078,Zaldibia,1766,380,187,21.518,10.589,2025-01-01,EUSTAT_EMH_2025
20079,Zarautz,23464,5467,2733,23.3,11.648,2025-01-01,EUSTAT_EMH_2025
20080,Zumarraga,9568,2441,1353,25.512,14.141,2025-01-01,EUSTAT_EMH_2025
20081,Zumaia,10001,2212,1033,22.118,10.329,2025-01-01,EUSTAT_EMH_2025
20901,Mendaro,2049,377,196,18.399,9.566,2025-01-01,EUSTAT_EMH_2025
20902,Lasarte-Oria,19808,4870,2829,24.586,14.282,2025-01-01,EUSTAT_EMH_2025
20903,Astigarraga,7665,1038,433,13.542,5.649,2025-01-01,EUSTAT_EMH_2025
20904,Baliarrain,159,16,4,10.063,2.516,2025-01-01,EUSTAT_EMH_2025
20905,Orendain,241,34,22,14.108,9.129,2025-01-01,EUSTAT_EMH_2025
20906,Altzaga,159,33,18,20.755,11.321,2025-01-01,EUSTAT_EMH_2025
20907,Gaztelu,179,37,11,20.67,6.145,2025-01-01,EUSTAT_EMH_2025
