municipality_code,municipality_name,population_total,population_65_plus,population_75_plus,pct_65_plus,pct_75_plus,reference_period,source_id,area_km2,services_hospital,services_mental_health,services_other_health,services_primary_care,primary_care_per_10000_65_plus,distance_to_nearest_primary_care_m,distance_to_nearest_hospital_m,metrics_reference_period
20023,Berrobi,588,115,61,19.558,10.374,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.9581461193190455,0,0,0,1,86.957,49.5,17033.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20024,Bidania-Goiatz,528,103,45,19.508,8.523,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,13.741467757052447,0,0,0,1,97.087,535.5,13326.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20025,Zegama,1560,339,156,21.731,10.0,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,34.82744537230791,0,0,0,1,29.499,1344.9,13181.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20026,Zerain,290,81,41,27.931,14.138,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,10.168120347619107,0,0,0,1,123.457,1278.6,8585.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20027,Zestoa,3908,762,387,19.498,9.903,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,43.662960867744346,0,0,0,1,13.123,900.0,11123.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20028,Zizurkil,2904,639,339,22.004,11.674,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,15.652089213788509,0,0,0,0,0.0,2469.6,12848.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20029,Deba,5364,1473,687,27.461,12.808,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,50.19328260130587,0,0,0,2,13.578,2001.8,4719.8,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20030,Eibar,27118,7101,3727,26.186,13.744,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,24.556533447491315,1,1,0,4,5.633,1223.6,2162.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20031,Elduain,239,36,19,15.063,7.95,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,25.241712444692695,0,0,0,1,277.778,2064.3,15230.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20032,Elgoibar,11659,2794,1420,23.964,12.179,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,38.826959818526255,0,0,0,1,3.579,1244.2,4631.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20033,Elgeta,1109,227,108,20.469,9.739,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,17.518091245027914,0,0,0,1,44.053,1429.8,3763.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20034,Eskoriatza,4227,961,497,22.735,11.758,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,40.322368866163515,0,0,0,1,10.406,2261.6,8716.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20035,Ezkio-Itsaso,632,164,83,25.949,13.133,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,21.21789117331292,0,0,0,1,60.976,2110.1,3432.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20036,Hondarribia,16960,4377,2254,25.808,13.29,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,29.756653294748617,1,0,0,1,2.285,2583.5,2331.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20037,Gaintza,124,27,13,21.774,10.484,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.8989862785204155,0,0,0,0,0.0,1664.7,15029.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20038,Gabiria,542,123,55,22.694,10.148,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,14.826865030335222,0,0,0,1,81.301,1065.1,3929.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20039,Getaria,2931,574,301,19.584,10.27,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,11.005080393298803,0,0,0,1,17.422,1153.5,14826.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20040,Hernani,20428,4557,2298,22.308,11.249,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,39.893326472006194,0,0,0,2,4.389,5882.0,8071.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20041,Hernialde,323,82,27,25.387,8.359,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,4.255999937767404,0,0,0,0,0.0,2192.5,18562.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20042,Ibarra,4076,1127,574,27.65,14.082,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.134847166315631,0,0,0,1,8.873,927.7,18114.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20043,Idiazabal,2279,559,299,24.528,13.12,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,29.30290501967143,0,0,0,1,17.889,2311.2,12507.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20044,Ikaztegieta,488,115,49,23.566,10.041,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.0530014938494268,0,0,0,1,86.957,558.9,15633.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20045,Irun,60665,14709,7604,24.246,12.534,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,41.88042371540888,0,2,0,4,2.719,1862.8,2967.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20046,Irura,1846,222,91,12.026,4.93,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,2.901192493497727,0,0,0,1,45.045,835.0,15804.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20047,Itsasondo,702,121,66,17.236,9.402,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,8.942324334529394,0,0,0,1,82.645,1981.8,10705.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20048,Larraul,262,39,12,14.885,4.58,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.566813442368955,0,0,0,0,0.0,2009.1,17166.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20049,Lazkao,5888,1147,558,19.48,9.477,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,11.592387393521655,0,0,0,1,8.718,1661.9,13156.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20050,Leaburu,383,89,43,23.238,11.227,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,3.3434674685861276,0,0,0,2,224.719,581.3,20426.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20051,Legazpi,8377,2276,1190,27.17,14.206,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,42.120257592355145,0,0,0,1,4.394,2624.8,6391.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20052,Legorreta,1499,309,165,20.614,11.007,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,8.602233868487039,0,0,0,1,32.362,489.3,13329.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20053,Lezo,6188,1345,543,21.736,8.775,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,8.472135909314634,0,0,0,1,7.435,1169.1,5539.2,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20054,Lizartza,700,147,77,21.0,11.0,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,12.126071315051158,0,0,0,1,68.027,902.6,22592.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20055,Arrasate/Mondragón,22251,5903,2982,26.529,13.402,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,32.90749356721066,1,1,0,1,1.694,1467.8,1533.9,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20056,Mutriku,5283,1265,630,23.945,11.925,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,27.628113793125816,0,0,0,1,7.905,1517.1,5077.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20057,Mutiloa,249,47,26,18.876,10.442,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,8.622582092800158,0,0,0,1,212.766,1115.9,6576.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20058,Olaberria,950,228,148,24.0,15.579,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,6.9821540006263145,0,0,0,1,43.86,1863.0,11171.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20059,Oñati,11445,2839,1443,24.806,12.608,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,107.54377969044752,0,0,0,1,3.522,2149.6,8113.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20060,Orexa,99,20,9,20.202,9.091,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,5.888953907416065,0,0,0,1,500.0,1215.8,22786.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20061,Orio,6197,1174,575,18.945,9.279,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,9.700943921686104,0,0,0,1,8.518,2190.3,11382.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20062,Ormaiztegi,1290,303,137,23.488,10.62,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,6.847235580778263,0,0,0,1,33.003,320.3,6826.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20063,Oiartzun,10473,2369,1138,22.62,10.866,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,59.49582463901057,0,0,0,1,4.221,4438.1,8212.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20064,Pasaia,16767,3719,2053,22.18,12.244,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,10.593428412916237,0,0,0,3,8.067,2813.4,5019.4,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20065,Soraluze-Placencia de las Armas,3765,948,496,25.179,13.174,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,14.027224380980158,0,0,0,1,10.549,618.3,5992.3,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20066,Errezil,602,119,54,19.767,8.97,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,32.202499655820986,0,0,0,1,84.034,1756.7,14550.1,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20067,Errenteria,39779,9667,5372,24.302,13.505,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,31.931921252089566,0,1,1,4,4.138,3925.5,8391.5,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20068,Leintz-Gatzaga,224,58,26,25.893,11.607,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,14.695946235308908,0,0,0,1,172.414,1749.1,12012.7,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20069,Donostia / San Sebastián,183388,48832,24884,26.628,13.569,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,61.00219856992474,1,5,3,18,3.686,323.1,2640.0,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
20070,Segura,1499,316,140,21.081,9.34,2025-01-01,G360_DERIVED_MUNICIPAL_METRICS_V1,9.348366379606453,0,0,0,1,31.646,1740.4,10725.6,demography=2025-01-01;services=2026-09-20;geography=2025-05-07
